MSN,StateCode,Year,Data
TEPRB,NM,1992,2311742.754
TEPRB,NM,1991,2011422.889
TEPRB,NM,1990,1978607.275
TEPRB,NM,1989,1847895.754
TEPRB,NM,1988,1778143.008
TEPRB,NM,1987,1775059.495
TEPRB,NM,1986,1694065.038
TEPRB,NM,1985,1950514.4
TEPRB,NM,1984,1973080.966
TEPRB,NM,1983,1854974.708
TEPRB,NM,1982,1939667.749
TEPRB,NM,1981,2085101.501
TEPRB,NM,1980,2117463.156
TEPRB,NM,1979,2142098.925
TEPRB,NM,1978,2083557.043
TEPRB,NM,1977,2102230.192
TEPRB,NM,1976,2121711.726
TEPRB,NM,1975,2105374.261
TEPRB,NM,1974,2164195.197
TEPRB,NM,1973,2153300.43
TEPRB,NM,1972,2214920.091
TEPRB,NM,1971,2205841.238
TEPRB,NM,1970,2208469.599
TEPRB,NM,1969,2159608.899
TEPRB,NM,1968,2166443.244
TEPRB,NM,1967,2040911.965
TEPRB,NM,1966,1936080.502
TEPRB,NM,1965,1844925.058
TEPRB,NM,1964,1741976.361
TEPRB,NM,1963,1618611.382
TEPRB,NM,1962,1587289.794
TEPRB,NM,1961,1583833.567
TEPRB,NM,1960,1562831.02
TEPRB,AZ,2009,570994.0459
TEPRB,AZ,2008,577726.7231
TEPRB,AZ,2007,539833.9367
TEPRB,AZ,2006,512423.4696
TEPRB,AZ,2005,612025.5941
TEPRB,AZ,2004,653736.2345
TEPRB,AZ,2003,644988.8232
TEPRB,AZ,2002,690114.9798
TEPRB,AZ,2001,684648.2485
TEPRB,AZ,2000,705499.6313
TEPRB,AZ,1999,692119.9063
TEPRB,AZ,1998,693323.956
TEPRB,AZ,1997,706794.872
TEPRB,AZ,1996,644756.4937
TEPRB,AZ,1995,651060.6342
TEPRB,AZ,1994,624945.9742
TEPRB,AZ,1993,586911.8181
TEPRB,AZ,1992,632379.5584
TEPRB,AZ,1991,644098.6692
TEPRB,AZ,1990,564694.3303
TEPRB,AZ,1989,450381.0827
TEPRB,AZ,1988,616445.3038
TEPRB,AZ,1987,515722.635
TEPRB,AZ,1986,536811.9288
TEPRB,AZ,1985,397320.2145
TEPRB,AZ,1984,444544.2438
TEPRB,AZ,1983,429318.5484
TEPRB,AZ,1982,369984.7565
TEPRB,AZ,1981,351172.6541
TEPRB,AZ,1980,363380.4378
TEPRB,AZ,1979,337891.5742
TEPRB,AZ,1978,282521.1725
TEPRB,AZ,1977,322606.1272
TEPRB,AZ,1976,317799.6795
TEPRB,AZ,1975,239057.932
TEPRB,AZ,1974,228967.7724
TEPRB,AZ,1973,155841.0834
TEPRB,AZ,1972,146643.8803
TEPRB,AZ,1971,107529.2389
TEPRB,AZ,1970,83347.03073
TEPRB,AZ,1969,83154.48637
TEPRB,AZ,1968,83935.3316
TEPRB,AZ,1967,74732.99516
TEPRB,AZ,1966,62172.92117
TEPRB,AZ,1965,53946.88221
TEPRB,AZ,1964,36786.49591
TEPRB,AZ,1963,36668.30932
TEPRB,AZ,1962,35003.14394
TEPRB,AZ,1961,35506.11035
TEPRB,AZ,1960,36737.34015
