MSN,StateCode,Year,Data
BMTCB,CA,2006,219733.391
GETCB,CA,2006,129318.5293
ELISB,TX,2006,117898.2282
BMTCB,TX,2006,115698.4572
HYTCB,AZ,2006,67378.81478
CLTCB,CA,2006,67016.54708
WYTCB,TX,2006,66164.83829
WYTCB,CA,2006,48432.50312
BMTCB,AZ,2006,25182.79468
SOTCB,CA,2006,23165.25809
BMTCB,NM,2006,12990.47148
WYTCB,NM,2006,12452.66968
ELNIB,CA,2006,8092.44854
HYTCB,TX,2006,6566.09035
SOTCB,AZ,2006,3233.96385
HYTCB,NM,2006,1966.05491
GETCB,TX,2006,1296.15311
GETCB,NM,2006,697.27622
SOTCB,TX,2006,579.10502
GETCB,AZ,2006,286.55903
SOTCB,NM,2006,215.75242
NUETB,NM,2006,0
WYTCB,AZ,2006,0
ELNIB,NM,2006,-117.3728
ELNIB,AZ,2006,-621.77507
ELNIB,TX,2006,-724.57283
ELISB,NM,2006,-154723.8258
ELISB,AZ,2006,-200419.1135
PMTCB,TX,2005,5673554.977
PMTCB,CA,2005,3785846.076
NNTCB,TX,2005,3625116.384
NNTCB,CA,2005,2304462.868
CLTCB,TX,2005,1627863.257
ELISB,CA,2005,955497.616
PMTCB,AZ,2005,577544.9484
CLTCB,AZ,2005,428444.8054
NUETB,TX,2005,398994.297
HYTCB,CA,2005,396279.0337
NUETB,CA,2005,377312.5155
NNTCB,AZ,2005,329301.673
CLTCB,NM,2005,317916.0977
NUETB,AZ,2005,269326.5065
PMTCB,NM,2005,257878.6477
BMTCB,CA,2005,225495.2407
NNTCB,NM,2005,225351.9866
GETCB,CA,2005,132375.377
BMTCB,TX,2005,81539.61821
ELISB,TX,2005,80524.02942
CLTCB,CA,2005,67422.33819
HYTCB,AZ,2005,64094.23194
WYTCB,CA,2005,42618.02787
WYTCB,TX,2005,42367.85279
BMTCB,AZ,2005,25121.70525
SOTCB,CA,2005,22035.08045
ELNIB,CA,2005,18858.44473
HYTCB,TX,2005,13324.26754
BMTCB,NM,2005,13020.14274
WYTCB,NM,2005,7945.50537
SOTCB,AZ,2005,2990.7242
HYTCB,NM,2005,1649.76501
GETCB,TX,2005,1161.03664
GETCB,NM,2005,690.1241
SOTCB,TX,2005,563.56815
GETCB,AZ,2005,282.94431
SOTCB,NM,2005,208.83508
NUETB,NM,2005,0
WYTCB,AZ,2005,0
ELNIB,NM,2005,-52.67786
ELNIB,AZ,2005,-259.93268
ELNIB,TX,2005,-749.66447
ELISB,NM,2005,-143757.5324
ELISB,AZ,2005,-218060.3657
PMTCB,TX,2004,5809285.634
NNTCB,TX,2004,4043094.264
PMTCB,CA,2004,3715937.043
NNTCB,CA,2004,2462247.16
CLTCB,TX,2004,1626029.094
ELISB,CA,2004,999180.6881
PMTCB,AZ,2004,561745.9898
CLTCB,AZ,2004,425413.1317
NUETB,TX,2004,421619.6238
NNTCB,AZ,2004,356264.7418
HYTCB,CA,2004,342160.3931
NUETB,CA,2004,315603.2578
CLTCB,NM,2004,309418.1458
NUETB,AZ,2004,293130.174
PMTCB,NM,2004,259259.391
NNTCB,NM,2004,229164.8137
BMTCB,CA,2004,228435.8629
GETCB,CA,2004,133326.9108
BMTCB,TX,2004,77141.7672
HYTCB,AZ,2004,69884.87923
CLTCB,CA,2004,68909.34635
WYTCB,CA,2004,43153.48186
ELISB,TX,2004,32066.25266
WYTCB,TX,2004,31445.92918
SOTCB,CA,2004,22326.11553
HYTCB,TX,2004,13034.7034
BMTCB,AZ,2004,9671.23441
WYTCB,NM,2004,5145.94623
BMTCB,NM,2004,4295.81309
ELNIB,CA,2004,4240.88057
SOTCB,AZ,2004,2988.6018
HYTCB,NM,2004,1392.52683
GETCB,TX,2004,1006.60506
GETCB,NM,2004,617.87045
SOTCB,TX,2004,564.96829
SOTCB,NM,2004,268.93891
ELNIB,AZ,2004,265.38638
GETCB,AZ,2004,254.89323
ELNIB,NM,2004,193.00319
NUETB,NM,2004,0
WYTCB,AZ,2004,0
ELNIB,TX,2004,-735.92166
ELISB,NM,2004,-129231.1793
ELISB,AZ,2004,-287810.1272
PMTCB,TX,2003,5632093.503
NNTCB,TX,2003,4180255.726
PMTCB,CA,2003,3786546.081
NNTCB,CA,2003,2317062.583
CLTCB,TX,2003,1603971.257
ELISB,CA,2003,875017.2956
PMTCB,AZ,2003,535979.3851
CLTCB,AZ,2003,406536.9641
HYTCB,CA,2003,372472.3694
NUETB,CA,2003,370922.8752
NUETB,TX,2003,348452.0208
CLTCB,NM,2003,305640.8118
NUETB,AZ,2003,297843.1533
NNTCB,AZ,2003,275650.1151
PMTCB,NM,2003,249035.2398
NNTCB,NM,2003,225220.2961
BMTCB,CA,2003,205818.2943
GETCB,CA,2003,134816.3645
ELISB,TX,2003,91441.33443
BMTCB,TX,2003,80861.02434
HYTCB,AZ,2003,72454.91114
CLTCB,CA,2003,69469.16922
WYTCB,CA,2003,39893.10887
WYTCB,TX,2003,26317.86457
SOTCB,CA,2003,22046.64559
ELNIB,CA,2003,14077.54009
BMTCB,AZ,2003,9556.87134
HYTCB,TX,2003,9181.4559
BMTCB,NM,2003,4302.16571
SOTCB,AZ,2003,3034.0978
WYTCB,NM,2003,1871.38914
HYTCB,NM,2003,1748.12846
GETCB,TX,2003,913.95843
SOTCB,TX,2003,572.4262
GETCB,NM,2003,562.58201
SOTCB,NM,2003,315.86928
GETCB,AZ,2003,234.62651
ELNIB,NM,2003,78.47259
NUETB,NM,2003,0
WYTCB,AZ,2003,0
ELNIB,AZ,2003,-54.16161
ELNIB,TX,2003,-740.53072
ELISB,NM,2003,-134986.6927
ELISB,AZ,2003,-235691.9208
PMTCB,TX,2002,5582806.379
NNTCB,TX,2002,4449189.149
PMTCB,CA,2002,3742980.24
NNTCB,CA,2002,2318656
CLTCB,TX,2002,1550325.051
ELISB,CA,2002,853673.8771
PMTCB,AZ,2002,528326.3893
CLTCB,AZ,2002,406478.8093
NUETB,TX,2002,371923.1978
NUETB,CA,2002,358707.1343
NUETB,AZ,2002,322260.0747
HYTCB,CA,2002,316793.6086
CLTCB,NM,2002,284131.9322
NNTCB,AZ,2002,255247.2894
PMTCB,NM,2002,245566.8232
NNTCB,NM,2002,229690.7958
BMTCB,CA,2002,171473.8135
GETCB,CA,2002,135220.8854
BMTCB,TX,2002,83740.05732
HYTCB,AZ,2002,75556.70214
CLTCB,CA,2002,70009.96196
WYTCB,CA,2002,38684.30759
ELISB,TX,2002,31467.62576
WYTCB,TX,2002,27020.54599
SOTCB,CA,2002,22533.84884
HYTCB,TX,2002,11429.28412
BMTCB,AZ,2002,9299.13173
ELNIB,CA,2002,6379.05472
BMTCB,NM,2002,4400.64321
SOTCB,AZ,2002,3115.93332
HYTCB,NM,2002,2691.68424
GETCB,NM,2002,747.9
GETCB,TX,2002,694
SOTCB,TX,2002,569.25039
SOTCB,NM,2002,355.14782
GETCB,AZ,2002,293.7
ELNIB,NM,2002,52.23772
ELNIB,AZ,2002,48.18259
NUETB,NM,2002,0
WYTCB,AZ,2002,0
WYTCB,NM,2002,0
ELNIB,TX,2002,-746.85687
ELISB,NM,2002,-112159.7676
ELISB,AZ,2002,-252406.2714
PMTCB,TX,2001,5432867.572
NNTCB,TX,2001,4388363.695
PMTCB,CA,2001,3623052.537
NNTCB,CA,2001,2513856.34
CLTCB,TX,2001,1492976.626
ELISB,CA,2001,817756.7026
PMTCB,AZ,2001,516191.9297
CLTCB,AZ,2001,424023.2213
NUETB,TX,2001,398534.7783
NUETB,CA,2001,346911.4474
NUETB,AZ,2001,299965.5257
CLTCB,NM,2001,297095.5084
HYTCB,CA,2001,263923.1714
NNTCB,NM,2001,259625.573
NNTCB,AZ,2001,244424.0247
PMTCB,NM,2001,240520.5408
BMTCB,CA,2001,164122.0837
GETCB,CA,2001,128077.3109
HYTCB,AZ,2001,78774.29715
BMTCB,TX,2001,76169.21088
CLTCB,CA,2001,67839.48592
ELISB,TX,2001,63988.03527
WYTCB,CA,2001,36162.79275
SOTCB,CA,2001,23072.1665
HYTCB,TX,2001,12403.03056
WYTCB,TX,2001,12270.54083
ELNIB,CA,2001,10422.70464
BMTCB,AZ,2001,10376.76406
BMTCB,NM,2001,4336.58586
SOTCB,AZ,2001,3298.53204
HYTCB,NM,2001,2452.22756
GETCB,NM,2001,737.9
GETCB,TX,2001,639
SOTCB,TX,2001,569.94727
SOTCB,NM,2001,397.74667
GETCB,AZ,2001,287.2
ELNIB,AZ,2001,187.50305
ELNIB,TX,2001,2.61018
ELNIB,NM,2001,0
NUETB,NM,2001,0
WYTCB,AZ,2001,0
WYTCB,NM,2001,0
ELISB,NM,2001,-140946.6877
ELISB,AZ,2001,-241263.913
PMTCB,TX,2000,5444615.299
NNTCB,TX,2000,4550105.655
PMTCB,CA,2000,3588427.106
NNTCB,CA,2000,2456438.192
CLTCB,TX,2000,1548184.286
ELISB,CA,2000,751785.8778
PMTCB,AZ,2000,511434.6574
CLTCB,AZ,2000,432810.0454
NUETB,TX,2000,391669.5112
HYTCB,CA,2000,391042.951
NUETB,CA,2000,366845.3417
NUETB,AZ,2000,316838.975
CLTCB,NM,2000,305512.8733
NNTCB,NM,2000,259018.0439
PMTCB,NM,2000,245018.4372
NNTCB,AZ,2000,208137.0766
BMTCB,CA,2000,164988.6785
GETCB,CA,2000,127599.7127
BMTCB,TX,2000,87162.14782
HYTCB,AZ,2000,85221.35742
CLTCB,CA,2000,70011.69418
WYTCB,CA,2000,35887.35262
SOTCB,CA,2000,23120.78743
ELISB,TX,2000,18224.53052
BMTCB,AZ,2000,13603.41768
ELNIB,CA,2000,11536.29272
HYTCB,TX,2000,8456.25156
BMTCB,NM,2000,7323.19479
WYTCB,TX,2000,5020.38135
SOTCB,AZ,2000,3514.96514
HYTCB,NM,2000,2255.97155
GETCB,NM,2000,687.9
SOTCB,TX,2000,567.51766
GETCB,TX,2000,562
SOTCB,NM,2000,452.381
GETCB,AZ,2000,286.2
ELNIB,AZ,2000,161.1044
ELNIB,NM,2000,0.10236
NUETB,NM,2000,0
WYTCB,AZ,2000,0
WYTCB,NM,2000,0
ELNIB,TX,2000,-55.30852
ELISB,NM,2000,-143467.9605
ELISB,AZ,2000,-238569.5112
PMTCB,TX,1999,5526147.446
NNTCB,TX,1999,4138068.257
PMTCB,CA,1999,3440352.214
NNTCB,CA,1999,2379557.562
CLTCB,TX,1999,1530425.966
ELISB,CA,1999,834549.0749
PMTCB,AZ,1999,503230.1169
HYTCB,CA,1999,416573.1567
CLTCB,AZ,1999,403262.1076
NUETB,TX,1999,384140.9446
NUETB,CA,1999,348735.9057
NUETB,AZ,1999,317842.7274
CLTCB,NM,1999,298104.7662
PMTCB,NM,1999,252703.2395
NNTCB,NM,1999,231312.1897
NNTCB,AZ,1999,167770.1576
BMTCB,CA,1999,156548.0245
GETCB,CA,1999,135324.6816
HYTCB,AZ,1999,99793.66264
BMTCB,TX,1999,83122.1534
CLTCB,CA,1999,69547.22128
WYTCB,CA,1999,33029.49938
SOTCB,CA,1999,24016.56505
BMTCB,AZ,1999,12719.41704
HYTCB,TX,1999,11455.22656
ELISB,TX,1999,7530.71092
BMTCB,NM,1999,6699.40501
SOTCB,AZ,1999,3736.04655
WYTCB,TX,1999,3271.91096
HYTCB,NM,1999,2481.95246
GETCB,NM,1999,643.6
ELNIB,CA,1999,642.91634
ELNIB,TX,1999,629.6573
SOTCB,TX,1999,588.55285
GETCB,TX,1999,562
SOTCB,NM,1999,509.5699
GETCB,AZ,1999,286.2
ELNIB,AZ,1999,0
ELNIB,NM,1999,0
NUETB,NM,1999,0
WYTCB,AZ,1999,0
WYTCB,NM,1999,0
ELISB,NM,1999,-140707.6469
ELISB,AZ,1999,-219643.992
PMTCB,TX,1998,5595098.689
NNTCB,TX,1998,4377956.656
PMTCB,CA,1998,3331430.849
NNTCB,CA,1998,2418687.913
CLTCB,TX,1998,1488589.371
ELISB,CA,1998,823844.7267
HYTCB,CA,1998,505242.9954
PMTCB,AZ,1998,476947.1194
NUETB,TX,1998,405845.6883
CLTCB,AZ,1998,386769.6754
NUETB,CA,1998,362927.8152
NUETB,AZ,1998,317888.2631
CLTCB,NM,1998,290367.1307
PMTCB,NM,1998,242658.8393
NNTCB,NM,1998,241405.5558
NNTCB,AZ,1998,161086.4893
BMTCB,CA,1998,146911.9789
GETCB,CA,1998,133436.4578
HYTCB,AZ,1998,111863.0172
BMTCB,TX,1998,99148.67733
CLTCB,CA,1998,66156.57709
ELISB,TX,1998,39110.21316
WYTCB,CA,1998,28121.99019
SOTCB,CA,1998,24582.63862
HYTCB,TX,1998,14528.89974
BMTCB,AZ,1998,12302.80131
BMTCB,NM,1998,6930.08464
SOTCB,AZ,1998,3854.31524
ELNIB,TX,1998,2503.53453
HYTCB,NM,1998,2410.69316
WYTCB,TX,1998,816.12709
SOTCB,TX,1998,570.38878
SOTCB,NM,1998,539.91699
GETCB,TX,1998,516.269
GETCB,AZ,1998,237.991
GETCB,NM,1998,184.5
ELNIB,AZ,1998,13.648
ELNIB,NM,1998,0
NUETB,NM,1998,0
WYTCB,AZ,1998,0
WYTCB,NM,1998,0
ELNIB,CA,1998,-2104.23841
ELISB,NM,1998,-134943.569
ELISB,AZ,1998,-226710.4267
PMTCB,TX,1997,5525091.909
NNTCB,TX,1997,4231566.37
PMTCB,CA,1997,3308958.041
NNTCB,CA,1997,2185029.247
CLTCB,TX,1997,1523201.246
ELISB,CA,1997,910758.9369
PMTCB,AZ,1997,439103.1702
HYTCB,CA,1997,419290.0783
NUETB,TX,1997,392031.1476
CLTCB,AZ,1997,369871.869
NUETB,CA,1997,320194.1663
NUETB,AZ,1997,307623.2148
CLTCB,NM,1997,288505.8768
NNTCB,NM,1997,261880.9573
PMTCB,NM,1997,231646.7737
BMTCB,CA,1997,158857.6686
NNTCB,AZ,1997,137588.4515
GETCB,CA,1997,132211.3956
HYTCB,AZ,1997,123060.4507
BMTCB,TX,1997,106313.4344
CLTCB,CA,1997,82651.06498
ELISB,TX,1997,44362.56214
WYTCB,CA,1997,32036.93501
SOTCB,CA,1997,25072.46038
HYTCB,TX,1997,18288.92975
BMTCB,AZ,1997,16422.29317
BMTCB,NM,1997,6402.55587
ELNIB,CA,1997,4502.29778
SOTCB,AZ,1997,3918.4599
HYTCB,NM,1997,2643.22653
WYTCB,TX,1997,827.8045
SOTCB,NM,1997,560.51608
SOTCB,TX,1997,505.37269
GETCB,TX,1997,450.86459
ELNIB,AZ,1997,391.83408
GETCB,AZ,1997,237.74535
GETCB,NM,1997,175.59761
ELNIB,NM,1997,0
NUETB,NM,1997,0
WYTCB,AZ,1997,0
WYTCB,NM,1997,0
ELNIB,TX,1997,-1969.90114
ELISB,NM,1997,-135511.495
ELISB,AZ,1997,-210871.5617
PMTCB,TX,1996,5197518.946
NNTCB,TX,1996,4268665.349
PMTCB,CA,1996,3394747.314
NNTCB,CA,1996,2017680.079
CLTCB,TX,1996,1485577.296
ELISB,CA,1996,791155.0151
HYTCB,CA,1996,462728.8866
PMTCB,AZ,1996,438119.6909
NUETB,TX,1996,375656.0747
NUETB,CA,1996,358119.3206
CLTCB,AZ,1996,342839.3757
NUETB,AZ,1996,302902.1823
CLTCB,NM,1996,279149.1602
NNTCB,NM,1996,233557.0239
PMTCB,NM,1996,219184.7063
BMTCB,CA,1996,175102.1526
GETCB,CA,1996,129678.2478
NNTCB,AZ,1996,125264.8684
BMTCB,TX,1996,100413.1941
HYTCB,AZ,1996,95276.44104
CLTCB,CA,1996,80324.43099
ELISB,TX,1996,45138.64044
WYTCB,CA,1996,31836.07416
SOTCB,CA,1996,25636.12091
BMTCB,AZ,1996,14707.18648
HYTCB,TX,1996,9924.76628
BMTCB,NM,1996,5672.70185
ELNIB,CA,1996,4191.45775
SOTCB,AZ,1996,3965.25746
HYTCB,NM,1996,2186.89966
WYTCB,TX,1996,853.79448
SOTCB,NM,1996,591.3285
SOTCB,TX,1996,504.82617
GETCB,TX,1996,417.17348
GETCB,AZ,1996,237.24082
GETCB,NM,1996,160.61467
ELNIB,NM,1996,0
NUETB,NM,1996,0
WYTCB,AZ,1996,0
WYTCB,NM,1996,0
ELNIB,AZ,1996,-9.01109
ELNIB,TX,1996,-3494.09955
ELISB,NM,1996,-124036.113
ELISB,AZ,1996,-171949.6195
PMTCB,TX,1995,4758067.021
NNTCB,TX,1995,4037537.985
PMTCB,CA,1995,3339422.545
NNTCB,CA,1995,2109955.873
CLTCB,TX,1995,1364800.239
ELISB,CA,1995,661991.1507
HYTCB,CA,1995,495317.6366
PMTCB,AZ,1995,408050.8462
NUETB,TX,1995,379841.9718
CLTCB,AZ,1995,342889.3714
NUETB,CA,1995,317794.0496
NUETB,AZ,1995,283526.2151
CLTCB,NM,1995,275216.5085
NNTCB,NM,1995,219475.7233
PMTCB,NM,1995,207396.4808
BMTCB,CA,1995,181976.7564
NNTCB,AZ,1995,127944.6977
GETCB,CA,1995,120056.8554
BMTCB,TX,1995,103692.7819
HYTCB,AZ,1995,85470.17673
CLTCB,CA,1995,84323.12291
WYTCB,CA,1995,31830.63818
SOTCB,CA,1995,25428.63311
HYTCB,TX,1995,17564.92458
BMTCB,AZ,1995,16653.19869
BMTCB,NM,1995,6322.92408
ELNIB,CA,1995,5932.37275
SOTCB,AZ,1995,3944.4461
HYTCB,NM,1995,2721.54304
ELNIB,AZ,1995,1146.25799
SOTCB,NM,1995,600.50254
SOTCB,TX,1995,486.80553
GETCB,TX,1995,370.3163
GETCB,AZ,1995,236.85549
GETCB,NM,1995,158.53529
ELNIB,NM,1995,0
NUETB,NM,1995,0
WYTCB,AZ,1995,0
WYTCB,NM,1995,0
WYTCB,TX,1995,0
ELNIB,TX,1995,-3157.36244
ELISB,TX,1995,-25655.25933
ELISB,NM,1995,-126663.4748
ELISB,AZ,1995,-183150.887
PMTCB,TX,1994,4764773.721
NNTCB,TX,1994,3885071.761
PMTCB,CA,1994,3333871.829
NNTCB,CA,1994,2334776.981
CLTCB,TX,1994,1389409.443
ELISB,CA,1994,607847.335
CLTCB,AZ,1994,402390.1462
PMTCB,AZ,1994,388406.4975
NUETB,CA,1994,352778.3811
NUETB,TX,1994,300447.6943
CLTCB,NM,1994,278384.8206
NUETB,AZ,1994,242182.1841
HYTCB,CA,1994,237398.1363
PMTCB,NM,1994,224345.9994
NNTCB,NM,1994,221478.9856
BMTCB,CA,1994,195853.6851
GETCB,CA,1994,142640.107
NNTCB,AZ,1994,139733.0287
BMTCB,TX,1994,98792.66189
CLTCB,CA,1994,84615.77611
HYTCB,AZ,1994,75981.7243
WYTCB,CA,1994,34941.61245
SOTCB,CA,1994,25226.2316
HYTCB,TX,1994,15787.97778
BMTCB,AZ,1994,14181.80795
ELNIB,CA,1994,7014.16441
BMTCB,NM,1994,5225.57276
SOTCB,AZ,1994,3924.91643
HYTCB,NM,1994,2196.17324
SOTCB,NM,1994,604.03372
SOTCB,TX,1994,470.94502
GETCB,TX,1994,340.742
GETCB,AZ,1994,236.423
GETCB,NM,1994,144.5
ELNIB,NM,1994,0
NUETB,NM,1994,0
WYTCB,AZ,1994,0
WYTCB,NM,1994,0
WYTCB,TX,1994,0
ELNIB,AZ,1994,-8.41741
ELNIB,TX,1994,-3291.5564
ELISB,TX,1994,-13362.817
ELISB,NM,1994,-137198.414
ELISB,AZ,1994,-211860.3979
PMTCB,TX,1993,4559547.363
NNTCB,TX,1993,3925162.889
PMTCB,CA,1993,3189775.609
NNTCB,CA,1993,2213111.106
CLTCB,TX,1993,1430675.537
ELISB,CA,1993,569328.9445
HYTCB,CA,1993,417437.4505
CLTCB,AZ,1993,389838.7377
PMTCB,AZ,1993,380705.7925
NUETB,CA,1993,331723.5888
CLTCB,NM,1993,270272.875
PMTCB,NM,1993,235903.5751
NUETB,AZ,1993,231601.4355
NNTCB,NM,1993,224999.0888
BMTCB,CA,1993,193993.5989
GETCB,CA,1993,155586.9767
NUETB,TX,1993,130320.7541
NNTCB,AZ,1993,118159.0624
BMTCB,TX,1993,98558.09518
CLTCB,CA,1993,84669.28642
HYTCB,AZ,1993,69040.28019
WYTCB,CA,1993,30758.34476
SOTCB,CA,1993,24688.83064
HYTCB,TX,1993,18416.04915
BMTCB,AZ,1993,13870.681
ELISB,TX,1993,9522.81338
ELNIB,CA,1993,6710.31558
BMTCB,NM,1993,5097.85589
SOTCB,AZ,1993,3874.57351
HYTCB,NM,1993,3029.06254
SOTCB,NM,1993,596.60783
SOTCB,TX,1993,441.02013
GETCB,TX,1993,338.98899
GETCB,AZ,1993,237.16575
GETCB,NM,1993,127.89877
ELNIB,NM,1993,0
NUETB,NM,1993,0
WYTCB,AZ,1993,0
WYTCB,NM,1993,0
WYTCB,TX,1993,0
ELNIB,AZ,1993,-7.69406
ELNIB,TX,1993,-2733.10071
ELISB,NM,1993,-134422.2348
ELISB,AZ,1993,-204296.7771
PMTCB,TX,1992,4613856.734
NNTCB,TX,1992,3768323.103
PMTCB,CA,1992,3269464.419
NNTCB,CA,1992,2294134.969
CLTCB,TX,1992,1324063.139
ELISB,CA,1992,695805.0513
CLTCB,AZ,1992,369742.9504
NUETB,CA,1992,369043.4423
PMTCB,AZ,1992,365139.4944
NUETB,AZ,1992,268148.7605
CLTCB,NM,1992,267468.5381
NUETB,TX,1992,256501.7206
PMTCB,NM,1992,234302.5424
BMTCB,CA,1992,226570.6544
NNTCB,NM,1992,211096.229
HYTCB,CA,1992,208571.3542
GETCB,CA,1992,154136.3198
NNTCB,AZ,1992,133771.0614
BMTCB,TX,1992,108089.1317
CLTCB,CA,1992,91515.05006
HYTCB,AZ,1992,68471.86889
WYTCB,CA,1992,29619.47766
HYTCB,TX,1992,27283.89209
SOTCB,CA,1992,23597.80676
BMTCB,AZ,1992,15094.93557
ELNIB,CA,1992,7073.42744
BMTCB,NM,1992,5962.41767
SOTCB,AZ,1992,3789.45591
HYTCB,NM,1992,2637.68573
SOTCB,NM,1992,594.13163
SOTCB,TX,1992,428.92497
GETCB,TX,1992,306.81413
GETCB,AZ,1992,236.72663
GETCB,NM,1992,124.91641
ELNIB,NM,1992,0
NUETB,NM,1992,0
WYTCB,AZ,1992,0
WYTCB,NM,1992,0
WYTCB,TX,1992,0
ELNIB,AZ,1992,-7.39039
ELNIB,TX,1992,-3283.74292
ELISB,TX,1992,-21377.43471
ELISB,NM,1992,-131938.4297
ELISB,AZ,1992,-240601.0528
PMTCB,TX,1991,4432739.065
NNTCB,TX,1991,3823074.973
PMTCB,CA,1991,3275646.077
NNTCB,CA,1991,2208285.484
CLTCB,TX,1991,1333449.454
