introduction,StateCode,Year,Data
Nuclear electric power,CA,1992,369043.4423
Nuclear electric power,CA,1991,330684.2207
Nuclear electric power,CA,1990,345955.2837
Nuclear electric power,CA,1989,344145.6032
Nuclear electric power,CA,1988,327209.1019
Nuclear electric power,CA,1987,317297.9841
Nuclear electric power,CA,1986,277331.5318
Nuclear electric power,CA,1985,209564.9433
Nuclear electric power,CA,1984,153366.016
Nuclear electric power,CA,1983,61214.20334
Nuclear electric power,CA,1982,41357.33388
Nuclear electric power,CA,1981,35367.1435
Nuclear electric power,CA,1980,53664.94933
Nuclear electric power,CA,1979,95319.99209
Nuclear electric power,CA,1978,83800.5873
Nuclear electric power,CA,1977,87395.5072
Nuclear electric power,CA,1976,53107.03848
Nuclear electric power,CA,1975,66855.44071
Nuclear electric power,CA,1974,41276.82675
Nuclear electric power,CA,1973,28689.30377
Nuclear electric power,CA,1972,34266.3591
Nuclear electric power,CA,1971,38137.4837
Nuclear electric power,CA,1970,34375.38659
Nuclear electric power,CA,1969,27127.08075
Nuclear electric power,CA,1968,17003.40842
Nuclear electric power,CA,1967,6502.68025
Nuclear electric power,CA,1966,1895.46722
Nuclear electric power,CA,1965,3192.78133
Nuclear electric power,CA,1964,4368.91659
Nuclear electric power,CA,1963,2287.60522
Nuclear electric power,CA,1962,83.84509
Nuclear electric power,CA,1961,55.27264
Nuclear electric power,CA,1960,0.51168
Nuclear electric power,NM,2009,0
Nuclear electric power,NM,2008,0
Nuclear electric power,NM,2007,0
Nuclear electric power,NM,2006,0
Nuclear electric power,NM,2005,0
Nuclear electric power,NM,2004,0
Nuclear electric power,NM,2003,0
Nuclear electric power,NM,2002,0
Nuclear electric power,NM,2001,0
Nuclear electric power,NM,2000,0
Nuclear electric power,NM,1999,0
Nuclear electric power,NM,1998,0
Nuclear electric power,NM,1997,0
Nuclear electric power,NM,1996,0
Nuclear electric power,NM,1995,0
Nuclear electric power,NM,1994,0
Nuclear electric power,NM,1993,0
Nuclear electric power,NM,1992,0
Nuclear electric power,NM,1991,0
Nuclear electric power,NM,1990,0
Nuclear electric power,NM,1989,0
Nuclear electric power,NM,1988,0
Nuclear electric power,NM,1987,0
Nuclear electric power,NM,1986,0
Nuclear electric power,NM,1985,0
Nuclear electric power,NM,1984,0
Nuclear electric power,NM,1983,0
Nuclear electric power,NM,1982,0
Nuclear electric power,NM,1981,0
Nuclear electric power,NM,1980,0
Nuclear electric power,NM,1979,0
Nuclear electric power,NM,1978,0
Nuclear electric power,NM,1977,0
Nuclear electric power,NM,1976,0
Nuclear electric power,NM,1975,0
Nuclear electric power,NM,1974,0
Nuclear electric power,NM,1973,0
Nuclear electric power,NM,1972,0
Nuclear electric power,NM,1971,0
Nuclear electric power,NM,1970,0
Nuclear electric power,NM,1969,0
Nuclear electric power,NM,1968,0
Nuclear electric power,NM,1967,0
Nuclear electric power,NM,1966,0
Nuclear electric power,NM,1965,0
Nuclear electric power,NM,1964,0
Nuclear electric power,NM,1963,0
Nuclear electric power,NM,1962,0
Nuclear electric power,NM,1961,0
Nuclear electric power,NM,1960,0
Nuclear electric power,TX,2009,434065.0738
Nuclear electric power,TX,2008,425723.1986
Nuclear electric power,TX,2007,429413.4896
Nuclear electric power,TX,2006,430634.0052
Nuclear electric power,TX,2005,398994.297
Nuclear electric power,TX,2004,421619.6238
Nuclear electric power,TX,2003,348452.0208
Nuclear electric power,TX,2002,371923.1978
Nuclear electric power,TX,2001,398534.7783
Nuclear electric power,TX,2000,391669.5112
Nuclear electric power,TX,1999,384140.9446
Nuclear electric power,TX,1998,405845.6883
Nuclear electric power,TX,1997,392031.1476
Nuclear electric power,TX,1996,375656.0747
Nuclear electric power,TX,1995,379841.9718
Nuclear electric power,TX,1994,300447.6943
Nuclear electric power,TX,1993,130320.7541
Nuclear electric power,TX,1992,256501.7206
Nuclear electric power,TX,1991,207581.8056
Nuclear electric power,TX,1990,167822.6682
Nuclear electric power,TX,1989,105721.7888
Nuclear electric power,TX,1988,40200.58939
Nuclear electric power,TX,1987,0
Nuclear electric power,TX,1986,0
Nuclear electric power,TX,1985,0
Nuclear electric power,TX,1984,0
Nuclear electric power,TX,1983,0
Nuclear electric power,TX,1982,0
Nuclear electric power,TX,1981,0
Nuclear electric power,TX,1980,0
Nuclear electric power,TX,1979,0
Nuclear electric power,TX,1978,0
Nuclear electric power,TX,1977,0
Nuclear electric power,TX,1976,0
Nuclear electric power,TX,1975,0
Nuclear electric power,TX,1974,0
Nuclear electric power,TX,1973,0
Nuclear electric power,TX,1972,0
Nuclear electric power,TX,1971,0
Nuclear electric power,TX,1970,0
Nuclear electric power,TX,1969,0
Nuclear electric power,TX,1968,0
Nuclear electric power,TX,1967,0
Nuclear electric power,TX,1966,0
Nuclear electric power,TX,1965,0
Nuclear electric power,TX,1964,0
Nuclear electric power,TX,1963,0
Nuclear electric power,TX,1962,0
Nuclear electric power,TX,1961,0
Nuclear electric power,TX,1960,0
Net interstate flow of electricity,AZ,2009,-280659.8302
Net interstate flow of electricity,AZ,2008,-300078.3308
Net interstate flow of electricity,AZ,2007,-227993.5133
Net interstate flow of electricity,AZ,2006,-201040.8886
Net interstate flow of electricity,AZ,2005,-218320.2984
Net interstate flow of electricity,AZ,2004,-287544.7408
Net interstate flow of electricity,AZ,2003,-235746.0824
Net interstate flow of electricity,AZ,2002,-252358.0888
Net interstate flow of electricity,AZ,2001,-241076.41
Net interstate flow of electricity,AZ,2000,-238408.4068
Net interstate flow of electricity,AZ,1999,-219643.992
Net interstate flow of electricity,AZ,1998,-226696.7787
Net interstate flow of electricity,AZ,1997,-210479.7276
Net interstate flow of electricity,AZ,1996,-171958.6306
Net interstate flow of electricity,AZ,1995,-182004.629
Net interstate flow of electricity,AZ,1994,-211868.8153
Net interstate flow of electricity,AZ,1993,-204304.4712
Net interstate flow of electricity,AZ,1992,-240608.4432
Net interstate flow of electricity,AZ,1991,-223999.6127
Net interstate flow of electricity,AZ,1990,-185374.5258
Net interstate flow of electricity,AZ,1989,-98730.69512
Net interstate flow of electricity,AZ,1988,-220887.3262
Net interstate flow of electricity,AZ,1987,-143958.1541
Net interstate flow of electricity,AZ,1986,-163290.0685
Net interstate flow of electricity,AZ,1985,-137017.5779
Net interstate flow of electricity,AZ,1984,-149838.7364
Net interstate flow of electricity,AZ,1983,-123029.157
Net interstate flow of electricity,AZ,1982,-105497.1864
Net interstate flow of electricity,AZ,1981,-100758.0914
Net interstate flow of electricity,AZ,1980,-85760.25792
Net interstate flow of electricity,AZ,1979,-69540.3601
Net interstate flow of electricity,AZ,1978,-35602.53801
Net interstate flow of electricity,AZ,1977,-44238.21479
Net interstate flow of electricity,AZ,1976,-20045.39195
Net interstate flow of electricity,AZ,1975,15561.37605
Net interstate flow of electricity,AZ,1974,15183.33347
Net interstate flow of electricity,AZ,1973,28664.8143
Net interstate flow of electricity,AZ,1972,31290.22102
Net interstate flow of electricity,AZ,1971,24078.6073
Net interstate flow of electricity,AZ,1970,25177.59952
Net interstate flow of electricity,AZ,1969,10278.16051
Net interstate flow of electricity,AZ,1968,5975.5649
Net interstate flow of electricity,AZ,1967,13846.63119
Net interstate flow of electricity,AZ,1966,4359.10493
Net interstate flow of electricity,AZ,1965,6286.76535
Net interstate flow of electricity,AZ,1964,4191.17601
Net interstate flow of electricity,AZ,1963,-8764.4723
Net interstate flow of electricity,AZ,1962,-15114.72589
Net interstate flow of electricity,AZ,1961,-16325.55906
Net interstate flow of electricity,AZ,1960,-15016.87905
Net interstate flow of electricity,CA,2009,1008499.312
Net interstate flow of electricity,CA,2008,1109175.126
Net interstate flow of electricity,CA,2007,1023262.264
Net interstate flow of electricity,CA,2006,920142.2772
Net interstate flow of electricity,CA,2005,974356.0607
Net interstate flow of electricity,CA,2004,1003421.569
Net interstate flow of electricity,CA,2003,889094.8357
Net interstate flow of electricity,CA,2002,860052.9318
Net interstate flow of electricity,CA,2001,828179.4072
Net interstate flow of electricity,CA,2000,763322.1705
Net interstate flow of electricity,CA,1999,835191.9912
Net interstate flow of electricity,CA,1998,821740.4883
Net interstate flow of electricity,CA,1997,915261.2347
Net interstate flow of electricity,CA,1996,795346.4729
Net interstate flow of electricity,CA,1995,667923.5235
Net interstate flow of electricity,CA,1994,614861.4994
Net interstate flow of electricity,CA,1993,576039.2601
Net interstate flow of electricity,CA,1992,702878.4787
Net interstate flow of electricity,CA,1991,826501.2984
Net interstate flow of electricity,CA,1990,805098.6922
Net interstate flow of electricity,CA,1989,651894.8943
Net interstate flow of electricity,CA,1988,873975.9697
Net interstate flow of electricity,CA,1987,739037.6499
Net interstate flow of electricity,CA,1986,735590.4893
Net interstate flow of electricity,CA,1985,701176.3182
Net interstate flow of electricity,CA,1984,692999.4598
Net interstate flow of electricity,CA,1983,608021.4272
Net interstate flow of electricity,CA,1982,623145.4312
Net interstate flow of electricity,CA,1981,556534.1407
Net interstate flow of electricity,CA,1980,460543.7025
Net interstate flow of electricity,CA,1979,369622.8614
Net interstate flow of electricity,CA,1978,443647.1168
Net interstate flow of electricity,CA,1977,385390.8128
Net interstate flow of electricity,CA,1976,549253.7331
Net interstate flow of electricity,CA,1975,417168.4002
Net interstate flow of electricity,CA,1974,259716.8978
Net interstate flow of electricity,CA,1973,195788.6555
Net interstate flow of electricity,CA,1972,279958.3085
Net interstate flow of electricity,CA,1971,203994.4437
Net interstate flow of electricity,CA,1970,137143.3777
Net interstate flow of electricity,CA,1969,76757.22842
Net interstate flow of electricity,CA,1968,52801.58186
Net interstate flow of electricity,CA,1967,6948.11481
Net interstate flow of electricity,CA,1966,14027.17346
Net interstate flow of electricity,CA,1965,-2713.41458
Net interstate flow of electricity,CA,1964,-14924.40848
Net interstate flow of electricity,CA,1963,-24171.17268
Net interstate flow of electricity,CA,1962,-7444.15771
Net interstate flow of electricity,CA,1961,8618.03263
Net interstate flow of electricity,CA,1960,5117.06094
Net interstate flow of electricity,NM,2009,-166159.7439
Net interstate flow of electricity,NM,2008,-136922.8644
Net interstate flow of electricity,NM,2007,-134546.2182
Net interstate flow of electricity,NM,2006,-154841.1986
Net interstate flow of electricity,NM,2005,-143810.2103
Net interstate flow of electricity,NM,2004,-129038.1761
Net interstate flow of electricity,NM,2003,-134908.2201
Net interstate flow of electricity,NM,2002,-112107.5299
Net interstate flow of electricity,NM,2001,-140946.6877
Net interstate flow of electricity,NM,2000,-143467.8581
Net interstate flow of electricity,NM,1999,-140707.6469
Net interstate flow of electricity,NM,1998,-134943.569
Net interstate flow of electricity,NM,1997,-135511.495
Net interstate flow of electricity,NM,1996,-124036.113
Net interstate flow of electricity,NM,1995,-126663.4748
Net interstate flow of electricity,NM,1994,-137198.414
Net interstate flow of electricity,NM,1993,-134422.2348
Net interstate flow of electricity,NM,1992,-131938.4297
Net interstate flow of electricity,NM,1991,-107507.6543
Net interstate flow of electricity,NM,1990,-148377.2593
Net interstate flow of electricity,NM,1989,-158993.8759
Net interstate flow of electricity,NM,1988,-148278.804
Net interstate flow of electricity,NM,1987,-145453.5734
Net interstate flow of electricity,NM,1986,-131018.2396
Net interstate flow of electricity,NM,1985,-163479.0515
Net interstate flow of electricity,NM,1984,-159942.7988
Net interstate flow of electricity,NM,1983,-193231.1873
Net interstate flow of electricity,NM,1982,-169453.5793
Net interstate flow of electricity,NM,1981,-151128.182
Net interstate flow of electricity,NM,1980,-161174.5261
Net interstate flow of electricity,NM,1979,-119957.7634
Net interstate flow of electricity,NM,1978,-119108.4394
Net interstate flow of electricity,NM,1977,-143459.8421
Net interstate flow of electricity,NM,1976,-132743.3583
Net interstate flow of electricity,NM,1975,-134253.8294
Net interstate flow of electricity,NM,1974,-135916.1423
Net interstate flow of electricity,NM,1973,-127352.5797
Net interstate flow of electricity,NM,1972,-112440.3238
Net interstate flow of electricity,NM,1971,-104940.5543
Net interstate flow of electricity,NM,1970,-94498.26936
Net interstate flow of electricity,NM,1969,-50513.79458
Net interstate flow of electricity,NM,1968,-42211.7256
Net interstate flow of electricity,NM,1967,-48421.10944
Net interstate flow of electricity,NM,1966,-40994.13769
Net interstate flow of electricity,NM,1965,-49400.80074
Net interstate flow of electricity,NM,1964,-24211.1063
Net interstate flow of electricity,NM,1963,-9589.36366
Net interstate flow of electricity,NM,1962,5036.21492
Net interstate flow of electricity,NM,1961,3826.22487
Net interstate flow of electricity,NM,1960,3076.95611
Net interstate flow of electricity,TX,2009,100964.4193
Net interstate flow of electricity,TX,2008,66433.32181
Net interstate flow of electricity,TX,2007,59886.57523
Net interstate flow of electricity,TX,2006,117173.6554
Net interstate flow of electricity,TX,2005,79774.36495
Net interstate flow of electricity,TX,2004,31330.331
Net interstate flow of electricity,TX,2003,90700.80371
Net interstate flow of electricity,TX,2002,30720.76889
Net interstate flow of electricity,TX,2001,63990.64545
Net interstate flow of electricity,TX,2000,18169.222
Net interstate flow of electricity,TX,1999,8160.36822
Net interstate flow of electricity,TX,1998,41613.74769
Net interstate flow of electricity,TX,1997,42392.661
Net interstate flow of electricity,TX,1996,41644.54089
Net interstate flow of electricity,TX,1995,-28812.62177
Net interstate flow of electricity,TX,1994,-16654.3734
Net interstate flow of electricity,TX,1993,6789.71267
Net interstate flow of electricity,TX,1992,-24661.17763
Net interstate flow of electricity,TX,1991,13329.4351
Net interstate flow of electricity,TX,1990,27730.91483
Net interstate flow of electricity,TX,1989,-12850.94215
Net interstate flow of electricity,TX,1988,109756.7239
Net interstate flow of electricity,TX,1987,109580.1683
Net interstate flow of electricity,TX,1986,95523.71016
Net interstate flow of electricity,TX,1985,60727.86223
Net interstate flow of electricity,TX,1984,28169.05536
Net interstate flow of electricity,TX,1983,-19480.77722
Net interstate flow of electricity,TX,1982,-63936.35889
Net interstate flow of electricity,TX,1981,-101535.7464
Net interstate flow of electricity,TX,1980,-92471.70711
Net interstate flow of electricity,TX,1979,-62126.07351
Net interstate flow of electricity,TX,1978,-36843.46792
Net interstate flow of electricity,TX,1977,-35229.37432
Net interstate flow of electricity,TX,1976,-22347.46645
Net interstate flow of electricity,TX,1975,-28221.37854
Net interstate flow of electricity,TX,1974,-12772.74075
Net interstate flow of electricity,TX,1973,-4388.51417
Net interstate flow of electricity,TX,1972,-21702.19978
Net interstate flow of electricity,TX,1971,-5901.28889
Net interstate flow of electricity,TX,1970,14088.65359
Net interstate flow of electricity,TX,1969,1540.81922
Net interstate flow of electricity,TX,1968,-2006.37275
Net interstate flow of electricity,TX,1967,-8678.31286
Net interstate flow of electricity,TX,1966,-5553.63588
Net interstate flow of electricity,TX,1965,-10667.27169
Net interstate flow of electricity,TX,1964,-31492.66894
Net interstate flow of electricity,TX,1963,-25200.65837
Net interstate flow of electricity,TX,1962,-21060.34191
Net interstate flow of electricity,TX,1961,-10110.75857
Net interstate flow of electricity,TX,1960,-10451.65622
Natural gas ,AZ,2009,376674.7907
Natural gas ,AZ,2008,409965.9579
Natural gas ,AZ,2007,401991.6341
Natural gas ,AZ,2006,365229.5651
Natural gas ,AZ,2005,329301.673
Natural gas ,AZ,2004,356264.7418
Natural gas ,AZ,2003,275650.1151
Natural gas ,AZ,2002,255247.2894
Natural gas ,AZ,2001,244424.0247
Natural gas ,AZ,2000,208137.0766
Natural gas ,AZ,1999,167770.1576
Natural gas ,AZ,1998,161086.4893
Natural gas ,AZ,1997,137588.4515
Natural gas ,AZ,1996,125264.8684
Natural gas ,AZ,1995,127944.6977
Natural gas ,AZ,1994,139733.0287
Natural gas ,AZ,1993,118159.0624
Natural gas ,AZ,1992,133771.0614
Natural gas ,AZ,1991,128178.1975
Natural gas ,AZ,1990,130781.2465
Natural gas ,AZ,1989,151467.8402
Natural gas ,AZ,1988,128594.321
Natural gas ,AZ,1987,121301.2125
Natural gas ,AZ,1986,105102.6291
Natural gas ,AZ,1985,137315.0258
Natural gas ,AZ,1984,126844.1484
Natural gas ,AZ,1983,120418.0545
Natural gas ,AZ,1982,142322.8669
Natural gas ,AZ,1981,192207.5839
Natural gas ,AZ,1980,173969.8248
Natural gas ,AZ,1979,180579.7877
Natural gas ,AZ,1978,186366.0558
Natural gas ,AZ,1977,176448.9725
Natural gas ,AZ,1976,180180.8666
Natural gas ,AZ,1975,164345.6261
Natural gas ,AZ,1974,204955.2307
Natural gas ,AZ,1973,226324.748
Natural gas ,AZ,1972,241355.3408
Natural gas ,AZ,1971,225898.1239
Natural gas ,AZ,1970,204382.7089
Natural gas ,AZ,1969,210332.0103
Natural gas ,AZ,1968,189964.9013
Natural gas ,AZ,1967,169085.3661
Natural gas ,AZ,1966,174447.576
Natural gas ,AZ,1965,166063.384
Natural gas ,AZ,1964,174623
Natural gas ,AZ,1963,169532.724
Natural gas ,AZ,1962,163460.655
Natural gas ,AZ,1961,159092.955
Natural gas ,AZ,1960,140274.585
Natural gas ,CA,2009,2391376.808
Natural gas ,CA,2008,2475017.122
Natural gas ,CA,2007,2441192.083
Natural gas ,CA,2006,2375928.944
Natural gas ,CA,2005,2304462.868
Natural gas ,CA,2004,2462247.16
Natural gas ,CA,2003,2317062.583
Natural gas ,CA,2002,2318656
Natural gas ,CA,2001,2513856.34
Natural gas ,CA,2000,2456438.192
Natural gas ,CA,1999,2379557.562
Natural gas ,CA,1998,2418687.913
Natural gas ,CA,1997,2185029.247
Natural gas ,CA,1996,2017680.079
Natural gas ,CA,1995,2109955.873
Natural gas ,CA,1994,2334776.981
Natural gas ,CA,1993,2213111.106
Natural gas ,CA,1992,2294134.969
Natural gas ,CA,1991,2208285.484
Natural gas ,CA,1990,2101602.035
Natural gas ,CA,1989,2047845.051
Natural gas ,CA,1988,1860390.85
Natural gas ,CA,1987,1992956.392
Natural gas ,CA,1986,1591044.552
Natural gas ,CA,1985,1925458.889
Natural gas ,CA,1984,1739833.355
Natural gas ,CA,1983,1601037.23
